"","DBN","Year","Mean Scale Score_e","Mean Scale Score_m","Total Enrollment","% Female","% Male","% Asian","% Black","% Hispanic","% Multi-Racial","% Native American","% White","% Missing Race/Ethnicity Data","% Students with Disabilities","% English Language Learners","% Poverty","Economic Need Index","# Total Days_a","# Days Absent_a","# Days Present_a","% Attendance_a","# Contributing 10+ Total Days and 1+ Pres Day_a","# Chronically Absent_a","% Chronically Absent_a","% tested_e","% tested_m"
"1","01M015",2023,0.604692682960151,0.555475694235294,180,0.5,0.5,0.0833333358168602,0.277777791023254,0.51111114025116,0.0444444455206394,0.00555555569007993,0.0777777805924416,0,0.261111110448837,0.0666666701436043,"0.82777780294418335","0.85807263851165771",32663,"4159","28504","87.266937260000006","206","104","50.48543549",0.4,0.45
"2","01M015",2022,0.820843035572972,0.785624563459438,179,0.536312878131866,0.463687151670456,0.11731843650341,0.279329597949982,0.519553065299988,0.0167597774416208,0,0.0670391097664833,0,0.251396656036377,0.0614525154232979,"0.83798885345458984","0.87935394048690796",31663,"4751","26912","84.995101930000004","190","113","59.473682400000001",0.41340782122905,0.418994413407821
"3","01M015",2019,0.865468089826737,0.868296600692606,174,0.488505750894547,0.511494278907776,0.137931033968925,0.275862067937851,0.545976996421814,0,0.00574712641537189,0.0344827584922314,0,0.224137932062149,0.0459770113229752,"0.84482759237289429","0.88792526721954346",30887,"2278","28609","92.624725339999998","192","47","24.479166029999998",0.402298850574713,0.402298850574713
"4","01M020",2023,0.0664166325610759,0.0517720449886321,314,0.506369411945343,0.493630588054657,0.184713378548622,0.159235671162605,0.550955414772034,0.0191082805395126,0.00318471342325211,0.0796178355813026,0.00318471342325211,0.191082805395126,0.124203823506832,"0.69745224714279175","0.77243632078170776",59180,"7634","51546","87.100372309999997","389","223","57.326477050000001",0.296178343949045,0.347133757961783
"5","01M020",2022,0.788403790825962,0.774669191387539,351,0.481481492519379,0.518518507480621,0.196581199765205,0.150997146964073,0.547008574008942,0.0170940179377794,0.00854700896888971,0.0769230797886848,0.00284900283440948,0.210826218128204,0.0997150987386703,"0.70655268430709839","0.75318235158920288",60564,"8563","52001","85.861236570000003","366","196","53.55191422",0.313390313390313,0.299145299145299
"6","01M020",2019,0.824168959742918,0.82024759279985,481,0.496881484985352,0.503118515014648,0.286902278661728,0.137214139103889,0.496881484985352,0.0249480251222849,0.00623700628057122,0.0457380451261997,0.00207900209352374,0.243243247270584,0.130977123975754,"0.67775470018386841","0.75400626659393311",85659,"6800","78859","92.061546329999999","520","165","31.730770110000002",0.40956340956341,0.413721413721414
"7","01M034",2023,0.0785202397616024,0.555475694235294,220,0.463636368513107,0.536363661289215,0.0181818176060915,0.41818180680275,0.527272701263428,0,0.00909090880304575,0.0272727273404598,0,0.313636362552643,0.0681818202137947,"0.95","0.95",39453,"7130","32323","81.927864069999998","256","171","66.796875",0.581818181818182,0.422727272727273
"8","01M034",2022,0.78712121074587,0.729970096041666,258,0.449612408876419,0.550387620925903,0.0310077518224716,0.414728671312332,0.527131795883179,0,0.00387596897780895,0.0232558138668537,0,0.344961225986481,0.0620155036449432,"0.95","0.9452674388885498",46581,"9173","37408","80.307418819999995","289","203","70.242218019999996",0.585271317829457,0.461240310077519
"9","01M034",2019,0.788332134705525,0.777952858850138,305,0.475409835577011,0.524590134620667,0.0262295082211494,0.33442622423172,0.596721291542053,0,0.00983606558293104,0.0295081958174706,0.00327868852764368,0.383606553077698,0.0721311494708061,"0.95","0.94844591617584229",54863,"6309","48554","88.500450130000004","329","158","48.024314879999999",0.649180327868852,0.636065573770492
"10","01M063",2023,0.102751869259714,0.106783877295673,179,0.536312878131866,0.463687151670456,0.022346368059516,0.173184350132942,0.642458081245422,0.0279329605400562,0.011173184029758,0.111731842160225,0.011173184029758,0.324022352695465,0.0279329605400562,"0.76536315679550171","0.77830725908279419",33156,"3883","29273","88.288696290000004","203","103","50.738914489999999",0.223463687150838,0.251396648044693
"11","01M063",2022,0.604692682960151,0.555475694235294,186,0.483870953321457,0.516129016876221,0.0161290317773819,0.204301074147224,0.645161271095276,0.0376344099640846,0.00537634408101439,0.0752688199281693,0.0161290317773819,0.338709682226181,0.0161290317773819,"0.75268816947937012","0.70819562673568726",32375,"3895","28480","87.969108579999997","194","100","51.546390529999996",0.182795698924731,0.188172043010753
"12","01M063",2019,0.839953735864538,0.816225319688759,230,0.452173918485641,0.547826111316681,0.0173913035541773,0.195652171969414,0.652173936367035,0.0391304343938828,0,0.0956521704792976,0,0.334782600402832,0.0173913035541773,"0.76956522464752197","0.7371441125869751",40842,"3731","37111","90.864799500000004","251","83","33.06772995",0.343478260869565,0.339130434782609
"13","01M064",2023,0.104508735145375,0.0942345155252134,188,0.462765961885452,0.53723406791687,0.0212765950709581,0.223404258489609,0.707446813583374,0,0.00531914876773953,0.037234041839838,0.00531914876773953,0.292553186416626,0.0106382975354791,"0.92021274566650391","0.89814895391464233",35289,"4893","30396","86.134490970000002","232","126","54.310344700000002",0.409574468085106,0.515957446808511
"14","01M064",2022,0.794206749318899,0.762684187901314,215,0.460465103387833,0.539534866809845,0.0279069766402245,0.195348843932152,0.739534854888916,0.00930232554674149,0.00465116277337074,0.018604651093483,0.00465116277337074,0.302325576543808,0.0139534883201122,"0.93953490257263184","0.86853951215744019",37204,"6361","30843","82.902374269999996","230","152","66.086959840000006",0.441860465116279,0.446511627906977
"15","01M064",2019,0.844482782997834,0.824803790937588,223,0.417040348052979,0.582959651947021,0.0313901342451572,0.183856502175331,0.713004469871521,0.0179372206330299,0,0.0538116581737995,0,0.286995530128479,0.0269058290868998,"0.86547082662582397","0.8946995735168457",40702,"4604","36098","88.688514710000007","243","117","48.14814758",0.36322869955157,0.36322869955157
"16","01M110",2023,0.158891248972859,0.195306441945757,290,0.482758611440659,0.517241358757019,0.141379311680794,0.079310342669487,0.52068966627121,0.024137930944562,0.0137931033968925,0.220689654350281,0,0.155172407627106,0.0344827584922314,"0.66551727056503296","0.70018619298934937",51572,"4987","46585","90.330024719999997","316","124","39.240505220000003",0.431034482758621,0.427586206896552
"17","01M110",2022,0.859546667815364,0.857124091852482,330,0.466666668653488,0.533333361148834,0.121212124824524,0.106060609221458,0.47272726893425,0.0272727273404598,0.00303030293434858,0.269696980714798,0,0.157575756311417,0.0212121214717627,"0.62727272510528564","0.6627386212348938",56812,"5762","51050","89.857772830000002","343","142","41.399417880000001",0.378787878787879,0.375757575757576
"18","01M110",2019,0.908185887824424,0.913364291290529,372,0.451612889766693,0.548387110233307,0.158602148294449,0.0994623675942421,0.451612889766693,0.0295698922127485,0.0026881720405072,0.25806450843811,0,0.120967738330364,0.0215053763240576,"0.56720429658889771","0.59411561489105225",64913,"3960","60953","93.899528500000002","391","95","24.296674729999999",0.387096774193548,0.387096774193548
"19","01M134",2023,0.0544661604470661,0.0435256493610472,182,0.461538463830948,0.538461565971375,0.0439560450613499,0.307692319154739,0.576923072338104,0.0219780225306749,0.0164835173636675,0.0274725276976824,0.00549450563266873,0.379120886325836,0.0549450553953648,"0.95","0.95",33879,"4597","29282","86.431121829999995","225","140","62.22222137",0.43956043956044,0.472527472527473
"20","01M134",2022,0.795039747458473,0.748414857041114,177,0.491525411605835,0.508474588394165,0.0734463259577751,0.288135588169098,0.581920921802521,0.0282485876232386,0.00564971752464771,0.0169491525739431,0.00564971752464771,0.378531068563461,0.0451977401971817,"0.95","0.95",31427,"5140","26287","83.644638060000005","204","135","66.176467900000006",0.457627118644068,0.457627118644068
"21","01M134",2019,0.815265156581592,0.804558236669235,281,0.448398590087891,0.551601409912109,0.0960854068398476,0.259786486625671,0.601423501968384,0.00355871883220971,0.00711743766441941,0.0320284701883793,0,0.430604994297028,0.0854092538356781,"0.93594306707382202","0.916145920753479",51585,"5514","46071","89.310844419999995","318","153","48.11320877",0.469750889679715,0.462633451957295
"22","01M140",2023,0.0850310878981198,0.0781159805634857,301,0.465116292238235,0.534883737564087,0.0232558138668537,0.205980062484741,0.72757476568222,0.00664451811462641,0,0.0299003329128027,0.00664451811462641,0.382059812545776,0.0764119625091553,"0.87375414371490479","0.92164784669876099",58905,"10782","48123","81.695953369999998","414","286","69.082122799999993",0.578073089700997,0.684385382059801
"23","01M140",2022,0.819643380192481,0.781939461602588,340,0.461764693260193,0.538235306739807,0.0235294122248888,0.197058826684952,0.723529398441315,0.00882352981716394,0.0029411765281111,0.0411764718592167,0.0029411765281111,0.391176462173462,0.0794117674231529,"0.86764705181121826","0.91835880279541016",60149,"13065","47084","78.278938289999999","372","297","79.838706970000004",0.552941176470588,0.529411764705882
"24","01M140",2019,0.795448878683944,0.786551996494728,385,0.488311678171158,0.51168829202652,0.0441558435559273,0.140259742736816,0.792207777500153,0,0,0.0233766231685877,0,0.37662336230278,0.111688308417797,"0.86493504047393799","0.89965975284576416",67989,"7814","60175","88.506965640000004","415","204","49.156627659999998",0.561038961038961,0.568831168831169
"25","01M142",2023,0.0900887404632979,0.100525828183628,338,0.491124272346497,0.508875727653503,0.00591715984046459,0.174556210637093,0.730769217014313,0.0147928996011615,0.0177514795213938,0.0443786978721619,0.0118343196809292,0.298816561698914,0.0680473372340202,"0.93491125106811523","0.89220708608627319",61801,"8240","53561","86.666885379999997","388","210","54.123710629999998",0.177514792899408,0.165680473372781
"26","01M142",2022,0.604692682960151,0.555475694235294,330,0.469696968793869,0.530303001403809,0.00303030293434858,0.163636356592178,0.760606050491333,0.00606060586869717,0.0151515156030655,0.0454545468091965,0.00606060586869717,0.266666680574417,0.0545454546809196,"0.93030303716659546","0.89713937044143677",59093,"8822","50271","85.070991520000007","361","228","63.157894130000003",0.166666666666667,0.145454545454545
"27","01M142",2019,0.825828021329739,0.813593063458495,353,0.433427751064301,0.566572248935699,0.0368271954357624,0.155807361006737,0.77337110042572,0.00283286115154624,0.011331444606185,0.0141643062233925,0.00566572230309248,0.368271946907043,0.0736543908715248,"0.95","0.9121931791305542",62653,"5790","56863","90.758621219999995","381","147","38.582675930000001",0.294617563739377,0.277620396600567
"28","01M184",2023,0.203941325686088,0.29055799127086,739,0.497970223426819,0.502029776573181,0.677943170070648,0.0257104188203812,0.123139373958111,0.0893098786473274,0.00270635983906686,0.0784844383597374,0.00270635983906686,0.128552094101906,0.0974289551377296,"0.6021651029586792","0.63466441631317139",130177,"4937","125240","96.207473750000005","755","76","10.06622505",0.571041948579161,0.454668470906631
"29","01M184",2022,0.904455744325217,0.912628516394648,717,0.483960956335068,0.516039073467255,0.698744773864746,0.0195258017629385,0.115760110318661,0.078103207051754,0.00278940028510988,0.0822873115539551,0.00278940028510988,0.152022317051888,0.132496505975723,"0.63040447235107422","0.62798047065734863",127325,"4040","123285","96.82701874","738","45","6.0975608829999999",0.563458856345886,0.560669456066946
"30","01M184",2019,0.898484914583742,0.929057044973639,678,0.497050136327744,0.502949833869934,0.690265476703644,0.0398230105638504,0.131268441677094,0.0575221255421638,0.00442477874457836,0.0752212405204773,0.00147492624819279,0.160766959190369,0.146017700433731,"0.67994099855422974","0.67188936471939087",121209,"2936","118273","97.577735899999993","693","32","4.6176047330000003",0.609144542772861,0.622418879056047
"31","01M188",2023,0.12095632659392,0.105166956320965,344,0.415697664022446,0.584302306175232,0.049418605864048,0.331395357847214,0.57267439365387,0.0145348841324449,0.0116279069334269,0.0174418613314629,0.00290697673335671,0.334302335977554,0.130813956260681,"0.94767439365386963","0.95",71118,"11337","59781","84.058891299999999","528","302","57.196968079999998",0.651162790697674,0.697674418604651
"32","01M188",2022,0.800400636712594,0.800828121532257,390,0.412820518016815,0.587179481983185,0.0410256423056126,0.31794872879982,0.597435891628265,0.0128205129876733,0.0102564105764031,0.0205128211528063,0,0.341025650501251,0.105128206312656,"0.95","0.95",69374,"12850","56524","81.477210999999997","442","295","66.742080689999995",0.602564102564103,0.505128205128205
"33","01M188",2019,0.809506982690539,0.555475694235294,407,0.444717437028885,0.555282533168793,0.0147420149296522,0.329238325357437,0.611793637275696,0.00245700241066515,0.00491400482133031,0.0368550382554531,0,0.363636374473572,0.0737100765109062,"0.95","0.95",74415,"9113","65302","87.753814700000007","483","249","51.552795410000002",0.660933660933661,0.538083538083538
"34","01M315",2023,0.166427669889151,0.188967143786548,469,0.501066088676453,0.498933911323547,0.0767590627074242,0.102345414459705,0.377398729324341,0.0810234546661377,0.00426439242437482,0.347547978162766,0.0106609808281064,0.2643923163414,0.0341151393949986,"0.47761192917823792","0.52787846326828003",83130,"8419","74711","89.87248993","489","182","37.218814850000001",0.266524520255864,0.279317697228145
"35","01M315",2022,0.869187542756155,0.854580445646594,302,0.490066230297089,0.509933769702911,0.105960264801979,0.0529801324009895,0.294701993465424,0.089403972029686,0.00331125827506185,0.450331121683121,0.00331125827506185,0.195364236831665,0.0231788083910942,"0.39403972029685974","0.44087043404579163",54201,"4429","49772","91.828567500000005","314","84","26.751592639999998",0.301324503311258,0.317880794701987
"36","01M315",2019,0.867454513958177,0.87584968688794,333,0.522522509098053,0.477477490901947,0.0960960984230042,0.045045044273138,0.231231227517128,0.0510510504245758,0.00300300307571888,0.573573589324951,0,0.162162154912949,0.0150150153785944,"0.28228229284286499","0.34897297620773315",59136,"3158","55978","94.659767149999993","342","51","14.91228104",0.336336336336336,0.333333333333333
"37","01M332",2023,0.087485008000187,0.0585456176119511,160,0.418749988079071,0.581250011920929,0.03125,0.256249994039536,0.600000023841858,0.0187500007450581,0.0125000001862645,0.0687500014901161,0.0125000001862645,0.46875,0.025000000372529,"0.86250001192092896","0.91272497177124023",30489,"4908","25581","83.902389529999994","199","106","53.266330719999999",0.6875,0.5625
"38","01M332",2022,0.82990661927176,0.555475694235294,196,0.377551019191742,0.622448980808258,0.0408163256943226,0.209183678030968,0.622448980808258,0.0102040814235806,0.00510204071179032,0.11224489659071,0,0.438775509595871,0.0255102049559355,"0.8163265585899353","0.85388773679733276",34068,"5003","29065","85.314666750000001","205","112","54.634147640000002",0.663265306122449,0.397959183673469
"39","01M332",2019,0.801993243316571,0.776265587898372,209,0.430622011423111,0.569378018379211,0.0861244052648544,0.196172252297401,0.626794278621674,0.0095693776383996,0,0.0813397094607353,0,0.449760764837265,0.0334928222000599,"0.84210526943206787","0.81602394580841064",37560,"3110","34450","91.719917300000006","215","59","27.441860200000001",0.837320574162679,0.827751196172249
"40","01M361",2023,0.120190650687947,0.102969257490923,267,0.49438202381134,0.50561797618866,0.101123593747616,0.108614228665829,0.325842708349228,0.0786516889929771,0.0112359551712871,0.374531835317612,0,0.228464424610138,0.0337078645825386,"0.44569289684295654","0.51581579446792603",51440,"5146","46294","89.996109009999998","338","142","42.011833189999997",0.340823970037453,0.419475655430712
"41","01M361",2022,0.845779809525176,0.823555323746875,283,0.508833944797516,0.491166085004807,0.102473497390747,0.10954063385725,0.346289753913879,0.0918727889657021,0.00706713786348701,0.342756181955338,0,0.2190812677145,0.0212014131247997,"0.48763251304626465","0.52115547657012939",48880,"3827","45053","92.17062378","294","69","23.469387050000002",0.328621908127208,0.318021201413428
"42","01M361",2019,0.861428208571639,0.833049054820725,320,0.465624988079071,0.534375011920929,0.0968749970197678,0.103124998509884,0.396874994039536,0.0500000007450581,0.00312500004656613,0.349999994039536,0,0.253125011920929,0.0343750007450581,"0.49062499403953552","0.5342249870300293",56369,"4604","51765","91.832389829999997","333","91","27.32732773",0.296875,0.296875
"43","01M363",2023,0.0978996490846385,0.142022081173726,233,0.459227472543716,0.536480665206909,0.0686695277690887,0.107296139001846,0.364806860685349,0.0858369097113609,0.00858369097113609,0.364806860685349,0,0.25321888923645,0.00858369097113609,"0.47639486193656921","0.51075536012649536",41367,"4351","37016","89.481956479999994","240","116","48.333332059999996",0.0343347639484979,0.0343347639484979
"44","01M363",2022,0.872681626469243,0.866176187948838,247,0.477732807397842,0.52226722240448,0.0647773295640945,0.0850202441215515,0.360323876142502,0.0971659943461418,0.00404858309775591,0.384615391492844,0.00404858309775591,0.267206490039825,0.0161943323910236,"0.43319839239120483","0.48241701722145081",43137,"4226","38911","90.203308109999995","249","100","40.160640720000004",0.0242914979757085,0.0242914979757085
"45","01M363",2019,0.828761572285574,0.807166712351186,306,0.473856210708618,0.526143789291382,0.0686274543404579,0.0882352963089943,0.375817000865936,0.0359477140009403,0.00980392191559076,0.421568632125854,0,0.235294118523598,0.0130718955770135,"0.4117647111415863","0.45997384190559387",53994,"3540","50454","93.443717960000001","312","61","19.551282879999999",0.0882352941176471,0.0882352941176471
"46","01M364",2023,0.604692682960151,0.555475694235294,217,0.465437799692154,0.534562230110168,0.0506912432610989,0.082949310541153,0.488479256629944,0.101382486522198,0,0.276497691869736,0,0.276497691869736,0.0414746552705765,"0.6036866307258606","0.63355761766433716",38242,"4114","34128","89.242195129999999","227","106","46.696033479999997",0.115207373271889,0.105990783410138
"47","01M364",2022,0.604692682960151,0.555475694235294,239,0.44351464509964,0.55648535490036,0.0627615079283714,0.11297070980072,0.44769874215126,0.0962343066930771,0,0.280334740877151,0,0.309623420238495,0.033472802489996,"0.60669457912445068","0.64927846193313599",42163,"4596","37567","89.099449160000006","247","105","42.510120389999997",0.117154811715481,0.112970711297071
"48","01M364",2019,0.80798487618825,0.780036469026987,350,0.448571413755417,0.551428556442261,0.0714285746216774,0.108571425080299,0.402857154607773,0.0799999982118607,0,0.33714285492897,0,0.291428565979004,0.0599999986588955,"0.56571429967880249","0.57898283004760742",62151,"4312","57839","93.062057499999995","358","87","24.301675800000002",0.0914285714285714,0.08
"49","01M378",2023,0.122461675084849,0.148071627707265,146,0.42465752363205,0.57534247636795,0.109589040279388,0.198630139231682,0.616438329219818,0.00684931501746178,0.0136986300349236,0.0547945201396942,0,0.321917802095413,0.0753424689173698,"0.89726024866104126","0.87477397918701172",28801,"3504","25297","87.833755490000001","204","107","52.450981140000003",0.835616438356164,1.08904109589041
"50","01M378",2022,0.836356213563027,0.832471249186057,167,0.449101805686951,0.550898194313049,0.107784427702427,0.24550898373127,0.580838322639465,0.00598802417516708,0.0119760483503342,0.0479041934013367,0,0.359281450510025,0.125748500227928,"0.91017961502075195","0.8745688796043396",29765,"3572","26193","87.999328610000006","179","85","47.48603439",0.88622754491018,0.898203592814371
"51","01M378",2019,0.817643953927142,0.829791149386884,250,0.412000000476837,0.587999999523163,0.128000006079674,0.236000001430511,0.564000010490417,0.0240000002086163,0.00800000037997961,0.0399999991059303,0,0.388000011444092,0.100000001490116,"0.85199999809265137","0.84897202253341675",45685,"4951","40734","89.162742609999995","277","114","41.15523529",0.792,0.836
"52","01M450",2023,0.133029018103829,0.139483955468834,699,0.442060083150864,0.557939887046814,0.0658082962036133,0.151645213365555,0.536480665206909,0.0257510729134083,0.00572246080264449,0.194563657045364,0.0200286116451025,0.324749648571014,0.0157367661595345,"0.65808296203613281","0.65556591749191284",123293,"7852","115441","93.631431579999997","712","140","19.662921910000001",0.28898426323319,0.257510729613734
"53","01M450",2022,0.865967657506732,0.835198909618028,701,0.465049922466278,0.534950077533722,0.0756062790751457,0.14835949242115,0.539229691028595,0.021398002281785,0.0071326675824821,0.206847354769707,0.00142653356306255,0.309557765722275,0.0185449365526438,"0.65620541572570801","0.65002423524856567",123278,"9623","113655","92.194068909999999","704","182","25.852272030000002",0.221112696148359,0.199714693295292
"54","01M450",2019,0.865994239310513,0.876855821153894,680,0.474999994039536,0.524999976158142,0.117647059261799,0.166176468133926,0.538235306739807,0.0102941179648042,0.0058823530562222,0.152941182255745,0.00882352981716394,0.275000005960464,0.0132352942600846,"0.67058825492858887","0.65365737676620483",119652,"6333","113319","94.707153320000003","685","81","11.824817660000001",0.364705882352941,0.357352941176471
"55","01M539",2023,0.273165678313635,0.356654855065756,1628,0.515970528125763,0.484029471874237,0.375307112932205,0.0534398034214973,0.107493855059147,0.0823095813393593,0.00307125295512378,0.367321878671646,0.0110565107315779,0.130221128463745,0.00982800964266062,"0.27764126658439636","0.28620824217796326",279109,"15926","263183","94.293983460000007","1639","230","14.03294659",0.377764127764128,0.325552825552826
